Day,Gas Price,Oil Price
1/3/2019,2.72,53.23
1/2/2019,3.25,54.06
12/28/2018,3.25,50.57
12/27/2018,3.1,51.49
12/21/2018,3.7,51.93
12/20/2018,3.7,52.84
12/19/2018,3.64,55.6
12/18/2018,3.8,55.26
12/17/2018,3.8,57.59
12/14/2018,3.99,58.56
12/13/2018,4.31,59.03
12/12/2018,4.53,59.94
12/11/2018,4.53,59.73
12/10/2018,4.54,60.29
12/7/2018,4.51,61.71
12/6/2018,4.44,57.83
12/5/2018,4.69,61.4
12/4/2018,4.4,61.22
12/3/2018,4.4,60.17
11/30/2018,4.61,57.71
11/29/2018,4.5,58.29
11/28/2018,4.5,57.97
11/27/2018,4.28,59.58
11/26/2018,4.28,59.7
11/21/2018,4.7,61.65
11/20/2018,4.65,61.5
11/19/2018,4.65,64.14
11/16/2018,4.3,65.29
11/15/2018,4.69,65.61
11/14/2018,4.1,64.88
11/13/2018,4.1,65.45
11/12/2018,3.96,69.81
11/9/2018,3.74,69.01
11/8/2018,3.54,69.29
11/7/2018,3.54,70.1
11/6/2018,3.53,70.64
11/5/2018,3.53,72.68
11/2/2018,3.26,71.11
11/1/2018,3.36,71.25
10/31/2018,3.31,74.84
10/30/2018,3.27,75.68
10/29/2018,3.2,77.56
10/26/2018,3.27,77.4
10/25/2018,3.42,77.3
10/24/2018,3.42,77.34
10/23/2018,3.28,78.67
10/22/2018,3.2,80.45
10/19/2018,3.2,80.38
10/18/2018,3.28,80.3
10/17/2018,3.3,79.91
10/16/2018,3.27,80.53
10/15/2018,3.26,80.91
10/12/2018,3.19,80.71
10/11/2018,3.16,81.35
10/10/2018,3.45,83.82
10/9/2018,3.4,85.16
10/8/2018,3.28,84.22
10/5/2018,3.25,85.12
10/4/2018,3.39,86.07
10/3/2018,3.26,85.45
10/2/2018,3.14,85.63
10/1/2018,3.13,84.94
09/28/2018,3.01,82.72
09/27/2018,3.05,81.54
09/26/2018,3.1,81.87
09/25/2018,3.12,82.21
09/24/2018,3.04,80.89
09/21/2018,3.02,78.9
09/20/2018,3.07,79.03
09/19/2018,3.11,79.43
09/18/2018,3,79.25
09/17/2018,2.95,78.22
09/14/2018,2.91,77.87
09/13/2018,2.94,77.66
9/12/2018,2.98,80.02
9/11/2018,2.94,78.22
9/10/2018,2.9,76.77
9/7/2018,2.88,75.55
9/6/2018,2.93,75.67
9/5/2018,3,76.68
9/4/2018,2.96,77.51
08/31/2018,2.98,76.94
08/30/2018,2.96,77.05
08/29/2018,2.96,76.07
08/28/2018,2.98,75.91
08/27/2018,2.98,74.41
08/24/2018,2.99,74.41
08/23/2018,3.01,73.73
08/22/2018,3.02,72.96
08/21/2018,3.01,71.65
08/20/2018,3.04,71.11
08/17/2018,3.01,70.14
08/16/2018,3.02,69.21
08/15/2018,3.02,68.38
08/14/2018,3.02,70.77
08/13/2018,2.92,70.62
8/10/2018,2.96,71
8/9/2018,3.02,70.55
8/8/2018,2.99,70.71
8/7/2018,2.95,72.31
8/6/2018,2.85,72.51
8/3/2018,2.86,72.48
8/2/2018,2.77,72.95
8/1/2018,2.8,72.28
07/31/2018,2.82,74.16
07/30/2018,2.75,74.99
07/27/2018,2.78,74.84
07/26/2018,2.82,74.51
07/25/2018,2.82,73.67
07/24/2018,2.73,73.53
07/23/2018,2.79,73.45
07/20/2018,2.79,71.99
07/19/2018,2.75,71.94
07/18/2018,2.8,70.52
07/17/2018,2.81,70.87
07/16/2018,2.76,71.03
07/13/2018,2.86,74.11
7/12/2018,2.89,72.11
7/11/2018,2.89,75.35
7/10/2018,2.9,77.8
7/9/2018,2.9,77.08
7/6/2018,2.91,74.98
7/5/2018,2.91,77.09
7/3/2018,2.9,75.87
7/2/2018,2.9,76.71
06/29/2018,2.96,77.44
06/28/2018,2.99,76.26
06/27/2018,3.01,76.09
06/26/2018,2.98,73.58
06/25/2018,2.96,72.82
